ReaderWell,Type,SampleWell,TubeBarcode,Full.Mass,Full.Weight.Date,Full.Weight.Time,BarcodeID,Empty.Mass,Empty.Weight.Date,Empty.Weight.Time,SampleMass,Experiment,Date,Cage,Animal,Timepoint,Sex,Condition,Sample,Replicate
E09,Experiment,E09,231322387,1036.5,9/7/17,10:40:05,SW_Abs|00000005b|090617|stEgL,935.1,8/15/17,17:12:07,101.4,SW_Abs1,6-Sep,5,5b,9,Male,1001095A+1001099B,FP,NA
E10,Experiment,E10,231322356,984.8,9/7/17,10:40:09,SW_Abs|00000005c|090617|PZ18p,933.6,8/15/17,17:12:14,51.2,SW_Abs1,6-Sep,5,5c,9,Male,1001095A+1001099B,FP,NA
E11,Experiment,E11,231322411,987.8,9/7/17,10:40:12,SW_Abs|00000006a|090617|OVx3O,932.9,8/15/17,17:12:21,54.9,SW_Abs1,6-Sep,6,6a,9,Male,1001254A+1001262B,FP,NA
E12,Experiment,E12,231322358,978.6,9/7/17,10:40:16,SW_Abs|00000006b|090617|oZKSX,937.7,8/15/17,17:12:28,40.9,SW_Abs1,6-Sep,6,6b,9,Male,1001254A+1001262B,FP,NA
F01,Experiment,F01,231322404,996.4,9/7/17,10:40:20,SW_Abs|00000007a|090617|SKa47,947.8,8/15/17,17:12:34,48.6,SW_Abs1,6-Sep,7,7a,9,Male,1001099B_AVNC_Recovery,FP,NA
F02,Experiment,F02,231322359,971.7,9/7/17,10:40:24,SW_Abs|00000007b|090617|MzlpK,936.9,8/15/17,17:12:40,34.8,SW_Abs1,6-Sep,7,7b,9,Male,1001099B_AVNC_Recovery,FP,NA
F03,Experiment,F03,231322400,981.6,9/7/17,10:40:30,SW_Abs|00000008a|090617|ZoWcN,935.3,8/15/17,17:12:49,46.3,SW_Abs1,6-Sep,8,8a,9,Female,1001262B_AVNC_Recovery,FP,NA
F04,Experiment,F04,231322378,980.8,9/7/17,10:40:33,SW_Abs|00000008b|090617|ru86B,934,8/15/17,17:12:56,46.8,SW_Abs1,6-Sep,8,8b,9,Female,1001262B_AVNC_Recovery,FP,NA
F05,Experiment,F05,231323146,977.8,9/7/17,10:40:37,SW_Abs|00000009a|090617|gJnIA,933.8,8/21/17,16:23:11,44,SW_Abs1,6-Sep,9,9a,13,Male,Conventional,FP,NA
F06,Experiment,F06,231323153,976.1,9/7/17,10:40:40,SW_Abs|00000009b|090617|Nr5zQ,932.9,8/21/17,16:23:34,43.2,SW_Abs1,6-Sep,9,9b,13,Male,Conventional,FP,NA
F07,Experiment,F07,231323176,987.2,9/7/17,10:40:45,SW_Abs|00000009c|090617|QxmFP,934.1,8/21/17,16:23:40,53.1,SW_Abs1,6-Sep,9,9c,13,Male,Conventional,FP,NA
F08,Experiment,F08,231323192,965.3,9/7/17,10:40:48,SW_Abs|00000010a|090617|3W8PU,936.2,8/21/17,16:23:46,29.1,SW_Abs1,6-Sep,10,10a,13,Female,Conventional,FP,NA
F09,Experiment,F09,231323145,974.9,9/7/17,10:40:52,SW_Abs|00000010b|090617|TuasK,934.3,8/21/17,16:23:54,40.6,SW_Abs1,6-Sep,10,10b,13,Female,Conventional,FP,NA
F10,Experiment,F10,231323148,976.9,9/7/17,10:40:56,SW_Abs|00000010c|090617|E9ejh,935.5,8/21/17,16:24:02,41.4,SW_Abs1,6-Sep,10,10c,13,Female,Conventional,FP,NA
G01,Experiment,G01,231323120,1014.2,9/7/17,10:41:00,SW_Abs|0001a-I.1|090617|rXarl,935.8,9/6/17,13:33:29,78.4,SW_Abs1,6-Sep,1,1a,9,Male,AS4413,Ileum,1
G02,Experiment,G02,231323174,1053.6,9/7/17,10:41:04,SW_Abs|0001a-I.2|090617|buTga,935.7,9/6/17,13:33:35,117.9,SW_Abs1,6-Sep,1,1a,9,Male,AS4413,Ileum,2
G03,Experiment,G03,231323193,991.6,9/7/17,10:41:14,SW_Abs|0001b-I.1|090617|95l0w,936.4,9/6/17,13:33:43,55.2,SW_Abs1,6-Sep,1,1b,9,Male,AS4413,Ileum,1
G04,Experiment,G04,231323198,993.1,9/7/17,10:41:19,SW_Abs|0001b-I.2|090617|c8b5a,933.4,9/6/17,13:33:49,59.7,SW_Abs1,6-Sep,1,1b,9,Male,AS4413,Ileum,2
G05,Experiment,G05,231323202,1001.5,9/7/17,10:41:24,SW_Abs|0002a-I.1|090617|10ced,933.7,9/6/17,13:33:56,67.8,SW_Abs1,6-Sep,2,2a,9,Male,NB71813,Ileum,1
G06,Experiment,G06,231323201,1127.6,9/7/17,10:41:28,SW_Abs|0002a-I.2|090617|IJflm,935.9,9/6/17,13:34:04,191.7,SW_Abs1,6-Sep,2,2a,9,Male,NB71813,Ileum,2
G07,Experiment,G07,231323194,1040.2,9/7/17,10:41:32,SW_Abs|0002b-I.1|090617|yzcsK,935.2,9/6/17,13:34:12,105,SW_Abs1,6-Sep,2,2b,9,Male,NB71813,Ileum,1
